k,w,double_decycling_dna_mean,double_decycling_dna_std,double_decycling_dna_min,double_decycling_dna_max,one_zero_dna_mean,one_zero_dna_std,one_zero_dna_min,one_zero_dna_max,abb_plus_dna_mean,abb_plus_dna_std,abb_plus_dna_min,abb_plus_dna_max,miniception_dna_mean,miniception_dna_std,miniception_dna_min,miniception_dna_max,open_closed_dna_mean,open_closed_dna_std,open_closed_dna_min,open_closed_dna_max
23,29,1.5748181651366056,0.001415974701409734,1.5732671876257793,1.5767771367315175,1.689647500111248,0.001200797936433114,1.6880155237749053,1.6908654824505045,1.7337708603225253,0.0014614053387372657,1.7314848934690446,1.7353398375723552,1.877198780617681,0.002075576441999779,1.8735478335564135,1.878497761782454,1.6112856363582728,0.0011231121581071813,1.6094466630233861,1.6122216227864696
14,81,1.8797492701545586,0.0027442256275549575,1.8751410567872002,1.882069776174065,1.8135041530818001,0.005246073582264016,1.8058128645789844,1.818440353165697,1.8233273552421128,0.004039678555776841,1.8165954278851706,1.8269680077956842,1.9728892979834316,0.004347312829733518,1.9683712809631209,1.9800558077397867,1.9026591423047368,0.0036163928625723755,1.8984691120009638,1.9069557682913842
16,76,1.85191822710737,0.0014592926205077709,1.8507016733364132,1.8535890636155825,1.8041646417436137,0.003389773779379764,1.7983051644037527,1.8063513586483713,1.8190019779248392,0.004340921320336148,1.811664156762043,1.8226747383599424,1.9611616758563177,0.003838421916495331,1.9555716882758454,1.9663127801143556,1.8766265881896487,0.005860800103491211,1.8699894404012647,1.8834639283707217
32,73,1.7021598711647024,0.0025578619738482046,1.6993479737989563,1.7062667212646738,1.7963806321069282,0.003095595443419492,1.792214584167678,1.80046528301717,1.8180692404727228,0.0040396697261359995,1.8119348643774502,1.8224054821998996,1.9155902809547452,0.003047687259972431,1.9121642060064807,1.9187499656262545,1.726467983918587,0.0017499226991984672,1.7246550500906717,1.729020890737488
29,80,1.7476184952601894,0.003189668456898311,1.7444272229110838,1.7520814167433303,1.8078152873885045,0.005174086096965445,1.7990190392384304,1.8118165273389064,1.8262744490220393,0.00424634736613402,1.8203616855325788,1.8306482740690373,1.9281197752089916,0.0040127539450730085,1.9235515579376825,1.93306867725291,1.7714072437102515,0.0040492709894649455,1.7672278108875645,1.776947422103116
18,39,1.7010308298988168,0.0013568375731753467,1.6993668623461842,1.7024068030673403,1.7242583769616495,0.002625462086639897,1.7212064364744886,1.7267463284465954,1.7547297827692359,0.0014127286232523786,1.7538258003968923,1.757225734098185,1.9192105753937798,0.0033579279688794005,1.9134426878675868,1.9220425201708566,1.745801956861841,0.0018860385123686434,1.7434660024129531,1.7479059158346413
24,33,1.5830580795416878,0.0018620164565818372,1.5808719156133926,1.5854108407211283,1.7024845090056016,0.0018491209976281683,1.6996149563532204,1.7039838842659096,1.7418388596588155,0.0019646778159038143,1.7393942999940502,1.7439502248212904,1.8893556256321773,0.0017618550629257962,1.8873088594038199,1.8919157833895741,1.623123018470195,0.0008174549823327731,1.6220622359731065,1.6238812059601018
24,84,1.799969401285146,0.0026052480406613026,1.7957195797776493,1.8026892870499438,1.8131438479583857,0.005495760330715356,1.8048566960187673,1.819093598068881,1.8301176350593273,0.004657928452943475,1.8224084588447285,1.8338829769149696,1.943800360384864,0.004364051465210897,1.9386835752898377,1.9493506272736547,1.8213630027538845,0.0023415706635207946,1.8174786658960325,1.8235134124366774
15,59,1.8223862396059314,0.003332940831930867,1.8184263564224854,1.8266161148246125,1.7762656001647952,0.002533868817723723,1.7735476803434298,1.7790675175082333,1.7941870714813912,0.003790290539741955,1.790467181218154,1.7984469458150985,1.9559183004101381,0.0018296263259664478,1.9527023952793394,1.957202262533255,1.8554332647186906,0.001973522283631136,1.8538553112683176,1.858475174982338
14,76,1.8719990640355668,0.0019768539564262453,1.8697199506418758,1.87422427947738,1.8060433703519265,0.003467220225168532,1.8010770590717553,1.8094697401498743,1.8174235379055594,0.004329724923429621,1.8097777284463192,1.8202878290624955,1.9707093130461044,0.0029982427333520296,1.9675832318371902,1.974589965581308,1.8954831716394775,0.0029292302022889843,1.890894146022451,1.8987478475817918
25,30,1.5684369734453987,0.0012394969379044723,1.566964495532567,1.5700024499632506,1.6925560116598253,0.0012180588715837175,1.690947135792963,1.6943415848762269,1.7355430668539973,0.0020428376045336575,1.7327810082848758,1.738283425748614,1.8638470422943656,0.0016431581254808636,1.862049069263961,1.866435503467448,1.6006516902246468,0.0011298682010076413,1.5994210086848697,1.6023659645105324
7,78,1.9398562456064217,0.005400134284212131,1.9319091555429337,1.9471160624735635,1.8621153775002774,0.002152756636915165,1.859310986871512,1.8644062881547618,1.8576994497214607,0.005199818810386907,1.849989350415334,1.8639718050996013,1.9920416103771952,0.004731133993864777,1.9876414819822026,1.9987405491185843,1.9708309375934339,0.0011072257331398339,1.9690377075294063,1.9718025996986117
22,31,1.5884137795864164,0.0008832239903837935,1.5872713972933419,1.5895593618298915,1.6961369098778967,0.0013149713289449323,1.694085741671004,1.6976216868638536,1.7369138778348934,0.0016185629389199154,1.7341971199446409,1.7382450572016135,1.8940282425622403,0.0036333988973981067,1.8896987096700002,1.8988665675682026,1.6342210695734216,0.0014763445505999232,1.6321027024081127,1.6356226478489584
23,54,1.7133467396380297,0.0028818119790455505,1.7108663066097216,1.7180986113374939,1.762718906589522,0.0018189672773093106,1.7600074797980456,1.7646548543189333,1.787275743554924,0.004015814412160016,1.7832993509175252,1.793199083624742,1.9227205865441632,0.00501380924441526,1.915460782558871,1.9269829714597704,1.7490352760475467,0.00343553673159132,1.7443329030116188,1.7528576728428333
26,99,1.811520329743678,0.0028506044116087988,1.8080605010052004,1.8142101965952686,1.8326692828704978,0.005103104134806884,1.8269095679763852,1.840408899759462,1.8471085681258779,0.006647508942723239,1.8365590903250288,1.8550081770952336,1.9460536703433178,0.0035105241653622266,1.9417038856576598,1.9491535169009133,1.8295494373028536,0.00434567375105088,1.8256596298483223,1.8369090730008863
7,94,1.9494318767017949,0.006678513804514375,1.9392863535413833,1.9556255855974767,1.8832389877675748,0.0037608815171653242,1.8780142333310335,1.8876087823872278,1.8805411145676154,0.0025373323459033552,1.8768742869085153,1.8835239743732044,1.9939657836081703,0.0032485486933765554,1.9900139693434409,1.998516069744722,1.9739027265718512,0.003318459330996102,1.9707773734634473,1.9791369805619137
